,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1.0,1.0,1.0,1.0,1,100.0,2.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1.0,0.23,0.23,1.0,1,100.0,1.23,-0.77,-0.77,0.0,0.0,MarginPurchase,
2022-01-01 01:00:00.001,1.154,0.23,0.26542,0.96458,1,99.9923,1.23,,,0.15399999999999991,-0.03542000000000001,purchase,0.0076999999999999985
2022-01-01 02:00:00.000,1.154,3.0,3.4619999999999997,0.96458,1,99.9923,4.4265799999999995,12.043478260869565,12.043478260869565,0.0,0.0,,
2022-01-01 03:00:00.000,1.154,0.45,0.5193,0.96458,1,99.9923,1.48388,-0.85,11.193478260869565,0.0,0.0,,
2022-01-01 04:00:00.000,1.154,0.5,0.577,0.96458,1,99.9923,1.54158,0.11111111111111116,11.304589371980676,0.0,0.0,,
2022-01-01 05:00:00.000,1.154,345.0,398.13,0.96458,1,99.9923,399.09458,689.0,700.3045893719807,0.0,0.0,,
2022-01-01 06:00:00.000,1.154,0.0,0.0,0.96458,1,99.9923,0.96458,-1.0,699.3045893719807,0.0,0.0,,
2022-01-01 07:00:00.000,1.154,0.0,0.0,0.96458,1,99.9923,0.96458,,,0.0,0.0,,
2022-01-01 08:00:00.000,1.154,0.0,0.0,0.96458,1,99.9923,0.96458,,,0.0,0.0,,
