,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1.0,1.0,1.0,1.0,1,100.0,2.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1.0,0.23,0.23,1.0,1,100.0,1.23,-0.77,-0.77,0.0,0.0,MarginPurchase,
2022-01-01 01:00:00.001,1.693,0.23,0.38939,0.84061,1,99.96535,1.23,,,0.6930000000000001,-0.15939000000000003,purchase,0.03465000000000001
2022-01-01 02:00:00.000,1.693,3.0,5.079000000000001,0.84061,1,99.96535,5.9196100000000005,12.043478260869565,12.043478260869565,0.0,0.0,MarginSale failed,
2022-01-01 03:00:00.000,1.693,0.45,0.76185,0.84061,1,99.96535,1.60246,-0.85,11.193478260869565,0.0,0.0,MarginSale failed,
2022-01-01 04:00:00.000,1.693,0.5,0.8465,0.84061,1,99.96535,1.68711,0.11111111111111116,11.304589371980676,0.0,0.0,MarginSale failed,
2022-01-01 05:00:00.000,1.693,345.0,584.085,0.84061,1,99.96535,584.92561,689.0,700.3045893719807,0.0,0.0,MarginSale failed,
2022-01-01 06:00:00.000,1.693,0.0,0.0,0.84061,1,99.96535,0.84061,-1.0,699.3045893719807,0.0,0.0,MarginSale failed,
2022-01-01 07:00:00.000,1.693,0.0,0.0,0.84061,1,99.96535,0.84061,,,0.0,0.0,,
2022-01-01 08:00:00.000,1.693,0.0,0.0,0.84061,1,99.96535,0.84061,,,0.0,0.0,,
