,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1,9.0,9.0,1.0,1,100.0,10.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1,8.0,8.0,1.0,1,100.0,9.0,-0.11111111111111116,-0.11111111111111116,0.0,0.0,,
2022-01-01 02:00:00.000,1,7.0,7.0,1.0,1,100.0,8.0,-0.125,-0.23611111111111116,0.0,0.0,,
2022-01-01 03:00:00.000,1,6.0,6.0,1.0,1,100.0,7.0,-0.1428571428571429,-0.37896825396825407,0.0,0.0,,
2022-01-01 04:00:00.000,1,5.0,5.0,1.0,1,100.0,6.0,-0.16666666666666663,-0.5456349206349207,0.0,0.0,MarginPurchase failed,
2022-01-01 05:00:00.000,1,4.0,4.0,1.0,1,100.0,5.0,-0.19999999999999996,-0.7456349206349207,0.0,0.0,AbsoluteStopLoss,
2022-01-01 05:00:00.001,0,4.0,0.0,5.0,1,99.95,5.0,,,-1.0,4.0,sale,0.05
2022-01-01 05:00:00.002,0,4.0,4.0,5.0,1,99.95,5.0,,,,,end,
2022-01-01 06:00:00.000,0,0.5,0.0,5.0,1,99.95,5.0,-0.875,-0.875,0.0,0.0,,
2022-01-01 07:00:00.000,0,2.0,0.0,5.0,1,99.95,5.0,3.0,2.125,0.0,0.0,,
2022-01-01 08:00:00.000,0,0.0001,0.0,5.0,1,99.95,5.0,-0.99995,1.1250499999999999,0.0,0.0,,
