,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1.0,100,100.0,100.0,1,100.0,200.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1.0,110,110.0,100.0,1,100.0,210.0,0.10000000000000009,0.10000000000000009,0.0,0.0,MarginSale,
2022-01-01 01:00:00.001,0.98,110,107.8,102.2,1,99.999,210.0,,,-0.020000000000000018,2.200000000000003,sale,0.0010000000000000007
2022-01-01 02:00:00.000,0.98,90,88.2,102.2,1,99.999,190.4,-0.18181818181818177,-0.18181818181818177,0.0,0.0,,
2022-01-01 03:00:00.000,0.98,85,83.3,102.2,1,99.999,185.5,-0.05555555555555558,-0.23737373737373735,0.0,0.0,,
2022-01-01 04:00:00.000,0.98,70,68.6,102.2,1,99.999,170.8,-0.17647058823529416,-0.4138443256090315,0.0,0.0,,
2022-01-01 05:00:00.000,0.98,10,9.8,102.2,1,99.999,112.0,-0.8571428571428572,-1.2709871827518886,0.0,0.0,,
2022-01-01 06:00:00.000,0.98,140,137.2,102.2,1,99.999,239.39999999999998,13.0,11.729012817248112,0.0,0.0,MarginSale failed,
2022-01-01 07:00:00.000,0.98,200,196.0,102.2,1,99.999,298.2,0.4285714285714286,12.15758424581954,0.0,0.0,MarginSale failed,
2022-01-01 08:00:00.000,0.98,240,235.2,102.2,1,99.999,337.4,0.19999999999999996,12.35758424581954,0.0,0.0,MarginSale failed,
