,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1.0,1.0,1.0,1.0,1,100.0,2.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1.0,0.23,0.23,1.0,1,100.0,1.23,-0.77,-0.77,0.0,0.0,MarginPurchase,
2022-01-01 01:00:00.001,1.616,0.23,0.37168000000000007,0.85832,1,99.9692,1.23,,,0.6160000000000001,-0.14168000000000003,purchase,0.030800000000000008
2022-01-01 02:00:00.000,1.616,3.0,4.848000000000001,0.85832,1,99.9692,5.706320000000001,12.043478260869565,12.043478260869565,0.0,0.0,,
2022-01-01 03:00:00.000,1.616,0.45,0.7272000000000001,0.85832,1,99.9692,1.58552,-0.85,11.193478260869565,0.0,0.0,,
2022-01-01 04:00:00.000,1.616,0.5,0.808,0.85832,1,99.9692,1.66632,0.11111111111111116,11.304589371980676,0.0,0.0,,
2022-01-01 05:00:00.000,1.616,345.0,557.52,0.85832,1,99.9692,558.37832,689.0,700.3045893719807,0.0,0.0,,
2022-01-01 06:00:00.000,1.616,0.0,0.0,0.85832,1,99.9692,0.85832,-1.0,699.3045893719807,0.0,0.0,,
2022-01-01 07:00:00.000,1.616,0.0,0.0,0.85832,1,99.9692,0.85832,,,0.0,0.0,,
2022-01-01 08:00:00.000,1.616,0.0,0.0,0.85832,1,99.9692,0.85832,,,0.0,0.0,,
