,base_free,base-quote,base-quote_free,quote_free,base-commission,commission_free,quote_value,price_change_pct,price_acc_pct_change,base_free_change,quote_free_change,action,commission
2022-01-01 00:00:00.000,1.0,9.0,9.0,1.0,1,100.0,10.0,,,0.0,0.0,init,
2022-01-01 01:00:00.000,1.0,8.0,8.0,1.0,1,100.0,9.0,-0.11111111111111116,-0.11111111111111116,0.0,0.0,,
2022-01-01 02:00:00.000,1.0,7.0,7.0,1.0,1,100.0,8.0,-0.125,-0.23611111111111116,0.0,0.0,,
2022-01-01 03:00:00.000,1.0,6.0,6.0,1.0,1,100.0,7.0,-0.1428571428571429,-0.37896825396825407,0.0,0.0,,
2022-01-01 04:00:00.000,1.0,5.0,5.0,1.0,1,100.0,6.0,-0.16666666666666663,-0.5456349206349207,0.0,0.0,,
2022-01-01 05:00:00.000,1.0,4.0,4.0,1.0,1,100.0,5.0,-0.19999999999999996,-0.7456349206349207,0.0,0.0,,
2022-01-01 06:00:00.000,1.0,0.5,0.5,1.0,1,100.0,1.5,-0.875,-1.6206349206349207,0.0,0.0,,
2022-01-01 07:00:00.000,1.0,2.0,2.0,1.0,1,100.0,3.0,3.0,1.3793650793650793,0.0,0.0,MarginSale,
2022-01-01 07:00:00.001,0.0344444444444445,2.0,0.068888888888889,2.931111111111111,1,99.95172222222222,3.0,,,-0.9655555555555555,1.931111111111111,sale,0.04827777777777778
2022-01-01 08:00:00.000,0.0344444444444445,0.0001,3.4444444444444503e-06,2.931111111111111,1,99.95172222222222,2.9311145555555553,-0.99995,-0.99995,0.0,0.0,,
